akul@node0:~$ cat strace.txt
49090 09:09:44.144718 --- SIGCHLD {si_signo=SIGCHLD, si_code=CLD_EXITED, si_pid=49689, si_uid=20001, si_status=0, si_utime=43, si_stime=14} ---
49090 09:09:44.146285 munmap(0x7f4ff8ffb000, 50352128) = 0 <0.002604>
49090 09:09:44.149422 munmap(0x7f4fa3ff6000, 201347072) = 0 <0.008218>
49726 09:09:44.160452 brk(NULL)         = 0x55bde068c000 <0.000011>
49726 09:09:44.165179 mmap(0x7f1889861000, 8192, PROT_READ, MAP_PRIVATE|MAP_FIXED|MAP_DENYWRITE, 7, 0xd000) = 0x7f1889861000 <0.000009>
49726 09:09:44.165205 mmap(0x7f1889864000, 8192, PROT_READ|PROT_WRITE, MAP_PRIVATE|MAP_FIXED|MAP_DENYWRITE, 7, 0xf000) = 0x7f1889864000 <0.000009>
49726 09:09:44.165322 mmap(NULL, 420280, PROT_READ, MAP_PRIVATE|MAP_DENYWRITE, 7, 0) = 0x7f18897ed000 <0.000011>
49726 09:09:44.165352 mmap(0x7f18897ff000, 217088, PROT_READ|PROT_EXEC, MAP_PRIVATE|MAP_FIXED|MAP_DENYWRITE, 7, 0x12000) = 0x7f18897ff000 <0.000013>
49726 09:09:44.165383 mmap(0x7f1889834000, 110592, PROT_READ, MAP_PRIVATE|MAP_FIXED|MAP_DENYWRITE, 7, 0x47000) = 0x7f1889834000 <0.000011>
49726 09:09:44.165412 mmap(0x7f188984f000, 20480, PROT_READ|PROT_WRITE, MAP_PRIVATE|MAP_FIXED|MAP_DENYWRITE, 7, 0x61000) = 0x7f188984f000 <0.000011>
49726 09:09:44.165537 mmap(NULL, 942344, PROT_READ, MAP_PRIVATE|MAP_DENYWRITE, 7, 0) = 0x7f1889706000 <0.000010>
49726 09:09:44.165563 mmap(0x7f1889714000, 507904, PROT_READ|PROT_EXEC, MAP_PRIVATE|MAP_FIXED|MAP_DENYWRITE, 7, 0xe000) = 0x7f1889714000 <0.000012>
49726 09:09:44.165591 mmap(0x7f1889790000, 372736, PROT_READ, MAP_PRIVATE|MAP_FIXED|MAP_DENYWRITE, 7, 0x8a000) = 0x7f1889790000 <0.000010>
49726 09:09:44.165617 mmap(0x7f18897eb000, 8192, PROT_READ|PROT_WRITE, MAP_PRIVATE|MAP_FIXED|MAP_DENYWRITE, 7, 0xe4000) = 0x7f18897eb000 <0.000010>
